COMM_NAME,Avg_Index,Volatility_Percent,Price_Range,Growth_Percent,Data_Points,Year_Range
Manufacture Of Builders’ Carpentry And Joinery,166.32,20.83,108.6,96.48,160,2012-2025
"Manufacture Of Cement, Lime And Plaster",119.22,8.93,35.4,21.38,160,2012-2025
Manufacture Of Clay Building Materials,111.67,12.09,52.3,23.19,160,2012-2025
"Manufacture Of Cocoa, Chocolate And Sugar Confectionery",128.2,12.25,77.5,67.25,160,2012-2025
Manufacture Of Communication Equipment,117.54,11.69,46.0,42.57,160,2012-2025
Manufacture Of Computers And Peripheral Equipment,126.2,10.55,40.7,37.59,160,2012-2025
Manufacture Of Consumer Electronics,100.95,2.17,10.8,0.32,160,2012-2025
"Manufacture Of Cordage, Rope, Twine And Netting",140.82,11.0,68.6,40.15,160,2012-2025
Manufacture Of Corrugated Paper And Paperboard And Containers Of Paper And Paperboard,124.24,11.77,48.6,40.6,160,2012-2025
"Manufacture Of Cutlery, Hand Tools And General Hardware",104.27,4.8,21.1,2.85,160,2012-2025
Manufacture Of Domestic Appliances,122.23,6.36,33.0,22.51,160,2012-2025
"Manufacture Of Electric Motors, Generators, Transformers And Electricity Distribution And Control Apparatus",113.05,9.75,38.7,28.97,160,2012-2025
Manufacture Of Electronic Components,106.89,6.02,24.1,15.53,160,2012-2025
"Manufacture Of Engines And Turbines, Except Aircraft, Vehicle And Two Wheeler Engines",111.66,10.44,36.2,32.49,160,2012-2025
Manufacture Of Fertilizers And Nitrogen Compounds,126.12,8.61,39.9,26.52,160,2012-2025
Manufacture Of Fibre Optic Cables For Data Transmission Or Live Transmission Of Images,116.21,7.55,36.3,4.59,160,2012-2025
Manufacture Of Fluid Power Equipment,119.18,7.38,30.9,26.71,160,2012-2025
Manufacture Of Footwear,120.22,5.69,28.9,25.76,160,2012-2025
Manufacture Of Furniture,131.54,15.0,64.0,56.15,160,2012-2025
Manufacture Of Games And Toys,135.78,13.61,60.6,55.2,160,2012-2025
Manufacture Of Health Supplements,148.6,15.9,90.8,76.59,160,2012-2025
"Manufacture Of Irradiation, Electromedical And Electrotherapeutic Equipment",106.02,3.92,23.3,11.7,160,2012-2025
Manufacture Of Knitted And Crocheted Apparel,133.93,13.33,60.8,53.98,160,2012-2025
Manufacture Of Knitted And Crocheted Fabrics,115.22,6.77,33.2,18.93,160,2012-2025
Manufacture Of Lifting And Handling Equipment,113.14,9.06,31.3,28.15,160,2012-2025
"Manufacture Of Luggage, Handbags, Saddlery And Harness",132.86,7.28,39.9,31.64,160,2012-2025
"Manufacture Of Machinery For Food, Beverage And Tobacco Processing",120.69,7.22,38.0,26.16,160,2012-2025
"Manufacture Of Machinery For Mining, Quarrying And Construction",84.88,10.77,33.7,-11.99,160,2012-2025
"Manufacture Of Machinery For Textile, Apparel And Leather Production",120.54,9.56,56.2,38.78,160,2012-2025
Manufacture Of Malt Liquors And Malt,121.66,9.56,39.8,36.87,160,2012-2025
Manufacture Of Man-made Fibres,101.2,5.85,29.1,1.75,160,2012-2025
"Manufacture Of Measuring, Testing, Navigating And Control Equipment",108.16,5.93,31.9,21.42,160,2012-2025
Manufacture Of Medical And Dental Instruments And Supplies,150.64,12.14,62.8,37.7,160,2012-2025
Manufacture Of Metal-forming Machinery And Machine Tools,109.88,7.73,30.7,23.88,160,2012-2025
Manufacture Of Motor Cycles,117.41,15.3,57.1,47.89,160,2012-2025
Manufacture Of Motor Vehicles,117.48,6.95,37.2,31.61,160,2012-2025
Manufacture Of Musical Instruments,165.18,17.72,111.6,89.37,160,2012-2025
Manufacture Of Office Machinery And Equipment,127.0,8.21,37.5,26.29,160,2012-2025
Manufacture Of Optical Instruments And Photographic Equipment,104.06,5.24,23.2,10.02,160,2012-2025
Manufacture Of Other Electrical Equipment,110.66,6.2,26.3,22.81,160,2012-2025
Manufacture Of Other Electronic And Electric Wires And Cables,120.15,16.7,60.9,50.47,160,2012-2025
Manufacture Of Other General-purpose Machinery,130.72,7.72,45.6,33.04,160,2012-2025
"Manufacture Of Other Pumps, Compressors, Taps And Valves",111.13,4.68,23.0,16.63,160,2012-2025
Manufacture Of Other Special-purpose Machinery,124.39,11.44,49.1,42.66,160,2012-2025
Manufacture Of Other Transport Equipment,130.1,14.05,58.5,49.78,160,2012-2025
"Manufacture Of Ovens, Furnaces And Furnace Burners",86.5,14.82,51.4,-23.86,160,2012-2025
"Manufacture Of Paints, Varnishes And Similar Coatings, Printing Ink And Mastics",120.03,11.86,42.5,30.99,160,2012-2025
Manufacture Of Parts And Accessories For Motor Vehicles,114.74,8.51,29.0,26.55,160,2012-2025
Manufacture Of Plastic And Synthetic Rubber In Primary Form,122.59,9.54,47.3,23.85,160,2012-2025
Manufacture Of Prepared Animal Feeds,169.84,16.47,105.2,59.02,160,2012-2025
Manufacture Of Processed Condiments & Salt,139.93,22.57,106.1,99.89,160,2012-2025
Manufacture Of Processed Ready To Eat Food,129.32,10.72,53.3,48.05,160,2012-2025
"Manufacture Of Pulp, Paper And Paperboard",127.84,12.33,59.4,40.69,160,2012-2025
Manufacture Of Railway Locomotives And Rolling Stock,103.97,3.83,15.8,9.32,160,2012-2025
Manufacture Of Renewable Electricity Generating Equipment,72.15,8.52,25.0,-21.16,160,2012-2025
Manufacture Of Rubber Tyres And Tubes; Retreading And Rebuilding Of Rubber Tyres,104.91,5.64,20.4,12.6,160,2012-2025
"Manufacture Of Soap And Detergents, Cleaning And Polishing Preparations, Perfumes And Toilet Preparations",121.77,9.72,37.8,32.7,160,2012-2025
Manufacture Of Soft Drinks; Production Of Mineral Waters And Other Bottled Waters,123.14,6.16,31.3,21.7,160,2012-2025
Manufacture Of Sports Goods,131.47,14.05,69.0,59.7,160,2012-2025
"Manufacture Of Steam Generators, Except Central Heating Hot Water Boilers",105.42,5.1,24.8,4.07,160,2012-2025
"Manufacture Of Sugar, Molasses & Honey",119.94,10.19,54.1,28.13,160,2012-2025
"Manufacture Of Tanks, Reservoirs And Containers Of Metal",127.8,16.98,69.5,46.97,160,2012-2025
Manufacture Of Vegetable And Animal Oils And Fats,131.4,24.83,116.3,73.03,160,2012-2025
"Manufacture Of Veneer Sheets; Manufacture Of Plywood, Laminboard, Particle Board And Other Panels And Boards",133.03,8.5,44.4,36.91,160,2012-2025
Manufacture Of Watches And Clocks,137.96,12.81,70.4,65.77,160,2012-2025
"Manufacture Of Wearing Apparel (woven), Except Fur Apparel",136.68,7.79,42.1,31.97,160,2012-2025
Manufacture Of Wines & Spirits,118.99,8.1,37.9,32.2,160,2012-2025
"Manufacture Of Wiring Devices, Electric Lighting & Display Equipment",110.17,5.56,24.2,20.67,160,2012-2025
Manufacture Of Wooden Containers,133.1,6.43,45.5,25.79,160,2012-2025
Map Litho Paper,127.28,12.08,60.7,34.22,160,2012-2025
Marble Slab,124.53,6.81,34.3,26.37,160,2012-2025
Marigold,128.6,17.32,115.2,23.63,160,2012-2025
Masur,161.87,18.16,103.0,64.47,160,2012-2025
"Material Handling, Lifting And Hoisting Equipment",108.34,6.49,29.4,21.89,160,2012-2025
"Meat Of Goat, Fresh Or Chilled",132.94,6.4,36.0,22.74,160,2012-2025
Medical Accessories,129.58,10.1,48.1,43.29,160,2012-2025
Medium & Heavy Commercial Vehicle Tube,101.49,8.19,29.8,9.91,160,2012-2025
Medium & Heavy Commercial Vehicle Tyre,104.28,6.66,25.6,12.21,160,2012-2025
"Men/boys Suits, Coats And Jackets",127.04,9.59,54.9,41.08,160,2012-2025
Menthol,93.16,17.54,60.7,-31.57,160,2012-2025
Mesta,148.18,20.15,115.9,76.81,160,2012-2025
Metal Cutting Tools & Accessories,110.06,11.21,38.6,25.51,160,2012-2025
Metallic Iron,115.82,24.02,109.2,26.32,160,2012-2025
Metallic Minerals,145.56,31.4,162.4,100.72,160,2012-2025
Meter (non-electrical),108.16,5.93,31.9,21.42,160,2012-2025
Meter Panel,110.17,4.59,17.5,10.87,160,2012-2025
Microscope,111.23,11.45,62.8,41.86,160,2012-2025
Microwave Oven,119.13,6.21,35.6,4.04,160,2012-2025
Mild Steel (MS) Blooms,103.78,17.17,73.2,12.22,160,2012-2025
Mild Steel (MS) Flats & Sheets,98.49,8.45,34.5,-6.98,160,2012-2025
Mild Steel - Semi Finished Steel,105.61,11.34,45.7,9.18,160,2012-2025
Milk,146.38,15.99,85.0,75.97,160,2012-2025
Mineral Oils,112.71,30.05,133.4,38.48,160,2012-2025
Minerals,155.39,28.73,150.5,98.33,160,2012-2025
Minibus/bus,122.81,11.53,43.6,38.72,160,2012-2025
"Mining, Quarrying & Metallurgical Machinery/parts",107.52,7.68,29.1,16.89,160,2012-2025
Mixed Fertilizer,140.96,12.89,58.4,40.36,160,2012-2025
Mixing Machine,110.11,4.75,16.3,11.63,160,2012-2025
Modems,91.48,7.8,27.4,-4.74,160,2012-2025
Molasses,128.62,28.06,155.7,40.63,160,2012-2025
Mono Ethyl Glycol,94.4,15.39,66.5,-11.39,160,2012-2025
Moong,150.76,19.42,113.6,77.08,160,2012-2025
Mosambi (sweet Orange),139.39,21.16,131.7,72.26,160,2012-2025
Mosquito Coil,148.65,11.77,81.6,62.41,160,2012-2025
Motor Car Tube,97.98,3.54,13.9,4.7,160,2012-2025
Motor Car Tyre,104.55,4.53,16.7,10.36,160,2012-2025
Motor Cycles,118.32,15.88,59.9,50.25,160,2012-2025
Motor Starter,112.88,9.85,36.9,33.4,160,2012-2025
Motors & Other DC Equipment,113.44,10.44,36.3,29.32,160,2012-2025
Moulding Machine,142.77,14.86,70.6,58.36,160,2012-2025
Multimeter,126.51,8.92,39.8,32.65,160,2012-2025
Mustard Oil,144.93,25.44,132.8,67.58,160,2012-2025
Mustard Oil Cake,195.92,15.79,131.1,11.55,160,2012-2025
Mutton,147.01,17.34,86.5,65.8,160,2012-2025
Naphtha,100.2,28.06,130.1,18.42,160,2012-2025
Natural Gas,150.47,35.36,168.0,110.66,160,2012-2025
Newspaper,139.69,10.82,61.0,51.41,160,2012-2025
Newsprint,120.63,10.41,47.1,23.39,160,2012-2025
Niger Seed,200.92,30.93,195.4,156.43,160,2012-2025
Nitric Acid,152.56,25.42,183.3,81.81,160,2012-2025
"Nitrogenous Fertilizer, Others",139.64,9.38,51.7,34.2,160,2012-2025
Non Ceramic Tiles,142.6,16.8,79.2,53.23,160,2012-2025
Non Mechanical Toys,164.82,24.91,123.9,114.81,160,2012-2025
Non-coking Coal,115.64,6.1,25.8,22.52,160,2012-2025
Nylon Rope,110.25,3.33,16.4,4.78,160,2012-2025
OIL Seeds,156.5,19.65,124.3,45.66,160,2012-2025
Oil Pump,125.28,10.27,44.5,38.77,160,2012-2025
Okra (lady Finger),131.63,38.21,218.5,81.72,160,2012-2025
Oleoresin,110.09,19.1,69.8,59.14,160,2012-2025
Onion,220.85,50.99,657.8,124.26,160,2012-2025
Open End Spinning Machinery,121.57,10.02,67.1,42.8,160,2012-2025
Opthalmic Lens,127.43,8.79,43.2,37.31,160,2012-2025
Orange,153.79,39.78,199.2,138.3,107,2012-2025
Ordinary Portland Cement,117.52,9.04,35.6,19.51,160,2012-2025
Ordinary Sheet Glass,131.7,22.18,105.1,44.09,160,2012-2025
Organic Chemicals,113.3,11.54,56.2,13.56,160,2012-2025
Organic Solvent,110.66,11.95,57.3,15.68,160,2012-2025
Organic Surface Active Agent,106.43,10.18,41.9,23.8,160,2012-2025
Other Ferro Alloys,116.34,11.07,64.3,14.29,160,2012-2025
Other Inorganic Chemicals,120.66,14.58,62.3,34.48,160,2012-2025
"Other Meats, Preserved/processed",148.9,16.57,100.4,83.94,160,2012-2025
Other Minerals,189.86,23.47,177.9,91.73,160,2012-2025
Other Petrochemical Intermediates,110.26,9.47,51.6,25.53,160,2012-2025
PVC Fittings & Other Accessories,123.16,15.54,79.4,19.98,160,2012-2025
PVC Insulated Cable,123.11,19.72,75.2,71.09,160,2012-2025
Packing Machine,108.47,5.87,31.0,22.12,160,2012-2025
Paddy,155.58,15.57,101.7,80.59,160,2012-2025
Paint,120.56,12.21,44.0,30.46,160,2012-2025
Palm Oil,133.36,29.11,144.0,92.52,160,2012-2025
Papaya,94.88,36.49,155.9,85.93,160,2012-2025
Paper Bag Including Craft Paper Bag,142.56,21.92,150.0,70.76,160,2012-2025
Paper Carton/box,135.4,14.71,68.5,63.99,160,2012-2025
Paper For Printing & Writing,130.61,13.66,69.3,44.24,160,2012-2025
Particle Boards,115.74,5.53,27.2,20.6,160,2012-2025
Passenger Vehicles,115.53,8.42,55.0,47.52,160,2012-2025
Pear,126.45,19.0,131.2,49.06,160,2012-2025
Peas (Green),178.22,42.48,388.3,46.03,79,2012-2025
Peas/chawali,169.73,22.24,158.9,38.28,160,2012-2025
Perfume/scent,116.32,6.89,36.4,27.94,160,2012-2025
Personal Computer (P.C.),112.61,5.21,20.6,2.13,160,2012-2025
Petrol,110.44,30.37,128.9,30.57,160,2012-2025
Petroleum Coke,146.13,43.06,282.6,90.16,160,2012-2025
Pharmaceutical Machinery,126.64,13.07,54.7,46.17,160,2012-2025
Phosphoric Acid,100.26,9.34,37.5,-9.61,160,2012-2025
Phosphorite,180.65,29.86,208.9,83.23,160,2012-2025
Phthalic Anhydride,111.2,18.74,93.8,11.61,160,2012-2025
Pig Iron,115.82,24.02,109.2,26.32,160,2012-2025
Pineapple,159.26,23.49,188.5,76.97,160,2012-2025
Pipes & Tubes,130.98,20.25,82.2,60.62,160,2012-2025
Piston Ring/piston And Compressor,130.79,10.58,53.6,46.99,160,2012-2025
Plain Bricks,96.5,4.99,28.9,-5.28,160,2012-2025
Plastic Bag,126.36,9.42,51.3,28.6,160,2012-2025
Plastic Bottle,106.22,4.33,18.6,5.24,160,2012-2025
Plastic Box/container,125.54,12.64,54.3,50.66,160,2012-2025
Plastic Button,157.07,12.15,78.5,54.7,160,2012-2025
Plastic Capsules,140.14,13.22,67.0,51.94,160,2012-2025
Plastic Components,121.02,7.57,40.9,22.96,160,2012-2025
Plastic Film,116.71,8.21,38.7,21.67,160,2012-2025
Plastic Fixtures,117.83,5.67,26.3,12.55,160,2012-2025
Plastic Furniture,143.85,14.74,75.3,63.31,160,2012-2025
Plastic Moulded-others Toys,130.82,10.86,46.7,41.57,160,2012-2025
Plastic Tank,122.61,5.79,28.5,23.62,160,2012-2025
Plastic Tape,117.3,9.13,39.1,28.38,160,2012-2025
Plastic Tube (flexible/non-flexible),125.34,12.15,54.7,39.04,160,2012-2025
Plastic/pvc Chappals,121.77,10.1,39.4,32.26,160,2012-2025
Plasticizer,117.97,15.61,72.1,19.38,160,2012-2025
Playing Cards,136.16,14.3,65.9,56.66,160,2012-2025
Plywood Block Boards,125.72,9.26,44.8,38.29,160,2012-2025
Pneumatic Tools,109.76,6.65,18.6,18.56,160,2012-2025
Pointed Gourd,136.99,37.33,269.3,111.14,160,2012-2025
Poles & Posts Of Concrete,129.47,12.56,57.5,50.95,160,2012-2025
Poly Propylene (PP),121.1,10.75,64.9,21.76,160,2012-2025
Poly Vinyl Chloride (PVC),119.22,11.92,62.2,9.67,160,2012-2025
Polyester Chips Or Polyethylene Terepthalate (PET) Chips,93.13,8.24,34.7,-10.71,160,2012-2025
Polyester Fibre Fabric,112.06,6.24,33.1,14.39,160,2012-2025
Polyester Film (non-metalized),106.13,8.66,42.7,5.09,160,2012-2025
Polyester Film(metalized),116.78,8.46,47.0,25.8,160,2012-2025
Polyethylene,125.53,10.02,52.9,24.52,160,2012-2025
Polypropylene Film,109.06,11.22,48.5,22.02,160,2012-2025
"Polystyrene, Expandable",130.83,8.08,46.6,23.83,160,2012-2025
Polythene Film,128.58,10.42,50.9,39.31,160,2012-2025
Pomengranate,92.84,20.74,86.3,23.75,160,2012-2025
Porcelain Crockery,154.4,23.06,122.5,110.17,160,2012-2025
Porcelain Sanitary Ware,111.67,12.09,52.3,23.19,160,2012-2025
Pork,161.11,25.37,131.2,117.64,160,2012-2025
Poster Paper,125.65,8.37,43.4,28.15,160,2012-2025
Potato,202.0,36.79,400.0,32.0,160,2012-2025
Poultry Chicken,143.84,11.36,75.5,41.16,160,2012-2025
Powder Coating Material,115.91,10.65,50.4,32.78,160,2012-2025
Powder Milk,136.43,16.37,73.1,62.94,160,2012-2025
Pozzolana Cement,114.01,5.14,23.9,9.35,160,2012-2025
Precision Machinery Equipment/form Tools,100.81,8.88,36.8,15.29,160,2012-2025
Preparation And Spinning Of Textile Fibres,113.05,9.09,45.5,16.79,160,2012-2025
Press Board,110.6,9.85,35.1,31.17,160,2012-2025
Pressure Cooker,126.29,10.51,46.1,41.14,160,2012-2025
Pressure Vessel And Tank For Fermentation & Other Food Processing,114.02,15.45,85.3,6.27,160,2012-2025
Printed Books,160.27,16.95,93.5,80.43,160,2012-2025
Printed Form & Schedule,136.6,11.7,66.4,39.36,160,2012-2025
Printed Labels/posters/calendars,107.45,4.79,24.8,5.15,160,2012-2025
Printing,149.27,15.47,83.2,73.8,160,2012-2025
Printing AND Reproduction OF Recorded Media,149.27,15.47,83.2,73.8,160,2012-2025
Printing Ink,115.89,11.13,42.0,30.55,160,2012-2025
Printing Machinery,115.46,7.33,37.6,20.52,160,2012-2025
Processed Rubber,100.74,11.46,44.1,26.14,160,2012-2025
Processed Tea,148.66,19.48,100.2,64.4,160,2012-2025
Processing And Preserving Of Fruit And Vegetables,118.85,7.1,35.3,29.74,160,2012-2025
Processing And Preserving Of Meat,136.74,8.01,57.2,42.66,160,2012-2025
Propellers & Blades Of Boats/ships,106.27,6.37,26.8,20.65,160,2012-2025
Pulp Board,109.37,11.79,50.3,22.97,160,2012-2025
Pump Sets Without Motor,109.9,4.4,32.8,6.67,160,2012-2025
Pumpkin,152.06,18.75,136.0,30.18,160,2012-2025
Quilts,111.15,15.98,68.1,54.36,160,2012-2025
Radiators & Coolers,122.84,13.64,57.3,46.84,160,2012-2025
Radish,145.57,34.63,243.6,39.53,160,2012-2025
Ragi,214.18,23.19,214.4,143.06,160,2012-2025
Rails,112.53,17.85,65.2,68.18,160,2012-2025
Railway Brake Gear,95.5,6.17,22.8,-12.21,160,2012-2025
Railway Sleeper,141.89,19.78,89.9,79.09,160,2012-2025
Rajma,180.81,22.76,125.9,53.77,160,2012-2025
Rape & Mustard Seed,155.6,18.47,109.2,47.13,160,2012-2025
Rapeseed Oil,129.06,18.67,88.2,41.84,160,2012-2025
Raw Cotton,122.97,25.57,151.7,56.74,160,2012-2025
Raw Jute,200.19,28.72,210.0,152.96,160,2012-2025
Raw Rubber,72.17,18.3,69.2,7.79,160,2012-2025
Raw Silk,161.43,23.13,178.9,65.77,160,2012-2025
Raw Wool,164.61,28.67,109.8,107.3,160,2012-2025
Rectified Spirit,143.79,16.95,88.9,74.04,160,2012-2025
Refrigerators,125.03,4.78,30.7,16.34,160,2012-2025
Release Valve,123.67,9.08,56.0,25.38,160,2012-2025
Reprographic Machine And Scanners,127.0,8.21,37.5,26.29,160,2012-2025
Rice Bran Extract,154.94,20.38,138.6,53.44,160,2012-2025
Rice Bran Oil,133.2,25.95,129.3,61.18,160,2012-2025
Rice Mill Machinery,120.17,7.63,32.8,19.55,160,2012-2025
"Rice, Non-basmati",150.79,14.85,90.8,75.46,160,2012-2025
Road Roller,114.53,8.51,50.6,39.08,160,2012-2025
Roller And Ball Bearings,112.96,8.0,31.2,22.47,160,2012-2025
Roller Mill (Raymond),133.6,18.1,77.5,65.7,160,2012-2025
Rose,184.75,29.89,237.5,86.71,160,2012-2025
Rotor/magneto Rotor Assembly,109.79,17.29,61.3,27.17,160,2012-2025
Rubber Chemicals,112.93,8.75,48.5,28.53,160,2012-2025
Rubber Cloth/sheet,141.6,11.82,74.2,49.6,160,2012-2025
Rubber Components & Parts,109.56,11.66,43.2,23.59,160,2012-2025
Rubber Crumb,76.51,13.68,47.0,3.72,160,2012-2025
Rubber Insulated Cables,79.63,22.07,68.5,-38.7,160,2012-2025
Rubber Moulded Goods,112.12,8.83,30.5,25.21,160,2012-2025
Rubber Tread,95.7,8.24,26.4,2.24,160,2012-2025
Rubber Tubes- Not For Tyres,92.7,3.19,10.8,-1.73,160,2012-2025
Rubberized Dipped Fabric,110.55,17.46,85.1,23.94,160,2012-2025
Safety Fuse,119.01,6.85,35.8,28.34,160,2012-2025
Safety Matches (match Box),111.5,5.71,20.5,14.58,160,2012-2025
Safflower (kardi Seed),152.76,28.12,230.4,117.8,160,2012-2025
Salt,130.98,18.13,71.5,54.77,160,2012-2025
Sanitary Fittings Of Iron & Steel,104.43,13.78,77.4,7.73,160,2012-2025
Sapota,148.43,29.96,204.7,81.22,160,2012-2025
"Sauces Of Vegetables (tomato, Chilli, Soya & Others)",115.93,8.23,33.8,25.21,160,2012-2025
Saw Milling And Planing Of Wood,125.17,7.49,35.8,29.28,160,2012-2025
Scientific Time Keeping Device,199.89,25.79,202.6,149.7,160,2012-2025
Scooters,106.85,9.67,36.1,24.8,160,2012-2025
Seat For Motor Vehicles,141.69,13.53,66.2,48.23,160,2012-2025
Separator,114.54,6.4,35.1,13.86,160,2012-2025
Sewing Machines,124.71,16.52,62.0,55.52,160,2012-2025
Shafts Of All Kinds,118.63,8.98,39.5,30.53,160,2012-2025
Shampoo,97.42,6.26,22.8,2.17,160,2012-2025
"Shawls And Scarves, Knitted",154.47,18.74,93.8,78.26,160,2012-2025
Shirts/half Shirts Of Cotton And/or Man-made Fibre,146.07,9.22,47.8,35.46,160,2012-2025
Shock Absorbers,103.21,3.37,18.0,7.36,160,2012-2025
Shrimps/prawns - Processed/frozen,122.55,9.31,66.3,41.7,160,2012-2025
Silencer And Damper,109.42,11.55,42.7,30.99,160,2012-2025
Silicomanganese,117.59,14.13,88.4,10.29,160,2012-2025
Sillimanite,110.7,26.73,113.0,77.97,160,2012-2025
Silver,98.3,32.24,141.1,72.1,160,2012-2025
Simvastatin,112.15,8.42,37.9,30.17,160,2012-2025
Skins (Raw),101.14,8.56,27.5,-2.41,160,2012-2025
Slag Cement,126.07,10.54,45.7,33.97,160,2012-2025
Soda Ash/washing Soda,138.96,16.25,88.6,35.36,160,2012-2025
Sodium Silicate,133.11,19.8,97.7,49.04,160,2012-2025
Soil Preparation & Cultivation Machinery (other Than Tractors),117.59,8.64,44.1,26.44,160,2012-2025
Solar Power System (solar Panel & Attachable Equipment),52.57,18.24,39.4,-39.91,160,2012-2025
Solenoid Valve,156.67,24.25,134.6,109.25,160,2012-2025
Solid Rubber Tyres/wheels,101.42,4.07,15.2,2.29,160,2012-2025
Sooji (rawa ),149.5,15.51,109.6,77.66,160,2012-2025
Soya Preparations Excluding Oil,157.73,12.02,97.4,17.5,160,2012-2025
Soyabean,178.78,26.07,237.2,25.05,160,2012-2025
Soyabean Oil,126.55,22.93,110.4,54.61,160,2012-2025
Spices (including Mixed Spices),141.7,23.5,113.4,110.11,160,2012-2025
Spirits,112.41,5.92,26.1,21.18,160,2012-2025
Sponge Iron/direct Reduced Iron (DRI),112.37,24.18,115.9,18.69,160,2012-2025
Sports Goods Of Rubber (incl. Balls),121.57,10.84,51.9,43.24,160,2012-2025
Stainless Steel - Semi Finished,112.76,18.84,96.3,26.3,160,2012-2025
"Stainless Steel Bars & Rods, Including Flats",97.01,12.1,50.1,16.96,160,2012-2025
"Stainless Steel Coils, Strips & Sheets",124.99,15.59,73.1,35.9,160,2012-2025
Stainless Steel Pencil Ingots/billets/slabs,130.39,25.29,152.3,33.96,160,2012-2025
Stainless Steel Razor,89.16,10.79,28.8,-15.51,160,2012-2025
Stainless Steel Tank,122.7,9.85,42.0,32.07,160,2012-2025
Stainless Steel Tubes,131.04,20.28,82.4,60.76,160,2012-2025
Stainless Steel Utensils,123.08,11.07,52.0,21.37,160,2012-2025
Steam Turbines,86.14,8.15,21.6,-13.45,160,2012-2025
Steel Cables,129.9,15.08,78.1,62.19,160,2012-2025
Steel Container,128.48,16.19,71.8,50.38,160,2012-2025
Steel Door,146.37,14.47,71.7,59.9,160,2012-2025
Steel Drums And Barrels,126.15,19.74,81.8,48.02,160,2012-2025
Steel Forgings - Rough,136.69,19.71,84.1,67.9,160,2012-2025
"Steel Pipes, Tubes & Poles",115.75,12.63,43.4,25.33,160,2012-2025
Steel Shutter Gate,169.78,29.27,138.1,125.6,160,2012-2025
Steel Structures,119.13,9.95,39.2,28.37,160,2012-2025
Steering Gear Control System,111.8,11.27,40.8,32.86,160,2012-2025
Steroids And Hormonal Preparations (including Anti-fungal Preparations),108.26,5.25,17.9,15.19,160,2012-2025
Sticker Plastic,95.53,7.37,29.7,10.97,160,2012-2025
"Stone, Chip",114.24,4.37,24.4,19.43,160,2012-2025
"Stringed Musical Instruments (incl. Santoor, Guitars, Etc.)",165.18,17.72,111.6,89.37,160,2012-2025
Sugar,118.56,10.32,56.7,26.75,160,2012-2025
Sugar Confectionary,122.67,7.98,35.5,29.68,160,2012-2025
Sugar Machinery,129.08,9.04,51.1,40.87,160,2012-2025
Sugarcane,170.27,22.22,134.2,126.74,160,2012-2025
Sulpha Drugs,172.12,23.12,128.7,108.44,160,2012-2025
Sulphuric Acid,120.89,28.53,150.9,78.18,160,2012-2025
Sunflower,127.16,19.32,108.1,28.34,160,2012-2025
Sunflower Oil,121.9,20.04,92.4,52.62,160,2012-2025
Sunglasses,93.35,20.22,51.7,-36.2,160,2012-2025
"Superphospate/phosphatic Fertilizer, Others",155.64,11.37,66.8,37.71,160,2012-2025
Sweet Potato,86.03,25.51,129.2,-12.08,160,2012-2025
Synthetic Fabric – Others,113.35,7.12,31.0,18.43,160,2012-2025
Synthetic Yarn,103.35,6.53,31.3,1.78,160,2012-2025
Table Tennis Table,129.96,10.99,45.0,21.51,160,2012-2025
Tamarind,132.37,24.4,128.0,109.49,160,2012-2025
Tanker,130.1,14.05,58.5,49.78,160,2012-2025
Tanning And Dressing Of Leather; Dressing And Dyeing Of Fur,112.46,8.2,38.2,-2.36,160,2012-2025
Tanning Materials,83.32,16.84,34.5,-26.7,160,2012-2025
Tapioca,175.32,30.14,226.1,208.94,160,2012-2025
Tea,148.65,19.26,159.6,39.05,160,2012-2025
Telephone Sets Including Mobile Hand Sets,117.89,11.85,46.7,43.17,160,2012-2025
Terry Towel,129.65,12.85,60.8,46.08,160,2012-2025
Texturised And Twisted Yarn,103.76,8.29,34.1,7.11,160,2012-2025
Thermocol,131.75,13.71,62.8,53.21,160,2012-2025
Threshers,128.18,10.31,40.9,36.52,160,2012-2025
"Timber/wooden Plank, Sawn/resawn",124.37,8.86,44.0,26.25,160,2012-2025
Tissue Paper,149.98,24.47,123.5,97.39,160,2012-2025
Tobacco,112.15,3.32,17.2,12.85,160,2012-2025
Toilet Soap,117.58,9.38,35.5,28.46,160,2012-2025
Tomato,223.0,62.61,969.9,64.53,160,2012-2025
Tooth Brush,128.47,12.59,50.7,47.16,160,2012-2025
Tooth Paste/tooth Powder,124.98,9.53,47.0,43.84,160,2012-2025
Toughened Glass,110.89,14.39,53.9,33.27,160,2012-2025
Tractor Tyre,98.47,4.9,22.2,6.96,160,2012-2025
Transformer,109.2,8.7,39.2,19.33,160,2012-2025
"Travel Goods, Handbags, Office Bags, Etc.",135.7,8.61,45.5,33.87,160,2012-2025
Trouser/pants Made Of Cotton And/or Man-made Fibre,126.84,10.89,56.9,50.04,160,2012-2025
Turmeric,124.13,24.56,155.2,147.13,160,2012-2025
Tyre Cord Fabric,93.57,8.4,29.5,-17.08,160,2012-2025
UPS In Solid State Drives,88.09,10.06,42.2,-10.18,160,2012-2025
Urad,160.28,26.87,156.9,111.68,160,2012-2025
Urea,110.81,3.94,17.5,14.46,160,2012-2025
V Belt,126.03,15.99,64.9,58.6,160,2012-2025
Vaccine For Hepatitis B,169.7,23.84,122.7,101.41,160,2012-2025
Vaccine For Polio,136.26,16.28,87.4,73.53,160,2012-2025
Vanaspati,129.25,21.7,98.6,70.43,160,2012-2025
